"RaceNo","Boat","Finish","Code"
"Spring 2","Ashe","13:35:05",
"Spring 2","Better Still","13:35:06",
"Spring 2","Awesoma","13:35:05",
"Spring 2","Byte Size",,"DNF"
"Spring 2","Ashe","17:00:45",
"Spring 2","Oz","17:00:30",
"Spring 2","Better Still","17:22:22",
"Spring 2","Rapture","17:00:48",
"Spring 2","Watermark","17:00:50",
"Spring 2","Cloud Dancer","16:58:48",
"Spring 2","Lady Windy","16:58:50",
"Spring 2","Ola",,"RAF"
"Spring 2","Nosko","17:00:28",
"Spring 2","Maroca II",,"OCS"
"Spring 2","Hawley",,"OCS"
"Spring 2","Unorthodox","17:00:50",
"Spring 2","California girl","18:00:22",
"Spring 2","Kristina",,"DNF"
"Spring 2","October Wind",,"OCS"
"Spring 2","Fly n Lo","16:58:49",
"Spring 2","Sierra Tango","17:00:48",
"Spring 2","Paladin",,"DNF"
"Spring 2","Irish Jig","16:58:56",
"Spring 2","Slainte","17:00:49",
"Spring 2","Lorelei",,"OCS"
